epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.1863,1.77783,2.13384,1.04845,0,0,0,0,1.84853,2.74091,1.07411,0.0677021,0.000326241,0.000326241
2,127.997,1.65678,1.32054,1.03823,0.34171,0.02386,0.18218,0.11967,1.71984,1.6268,1.02795,0.0346891,0.000646515,0.000646515
3,218.333,1.65326,1.20091,1.03382,0.30022,0.06835,0.17651,0.09803,1.66416,1.30622,1.04813,0.00166281,0.000953589,0.000953589
4,306.499,1.64347,1.17496,1.03418,0.19742,0.08451,0.13454,0.07668,1.62771,1.21945,1.03754,0.0009406,0.0009406,0.0009406
5,390.535,1.61319,1.13445,1.02644,0.24881,0.08402,0.16195,0.09105,1.62533,1.1917,1.03329,0.0009208,0.0009208,0.0009208
6,469.774,1.58737,1.10447,1.01477,0.22816,0.07489,0.1482,0.08367,1.56477,1.1844,1.01499,0.000901,0.000901,0.000901
7,553.318,1.56417,1.07053,1.00554,0.43176,0.07235,0.25207,0.12847,1.54621,1.0785,1.00489,0.0008812,0.0008812,0.0008812
8,646.74,1.5383,1.04763,0.99971,0.29072,0.09096,0.18605,0.11185,1.53075,1.09652,1.00493,0.0008614,0.0008614,0.0008614
9,734.22,1.52431,1.03361,0.99587,0.3137,0.07673,0.19708,0.11405,1.50969,1.0507,0.9917,0.0008416,0.0008416,0.0008416
10,820.291,1.51464,1.01726,0.99156,0.33383,0.08698,0.20873,0.12542,1.47603,1.01817,0.99059,0.0008218,0.0008218,0.0008218
11,905.418,1.49321,0.99858,0.98492,0.42728,0.10687,0.26338,0.14577,1.4962,1.02698,0.99992,0.000802,0.000802,0.000802
12,995.181,1.49347,0.98942,0.98671,0.31126,0.11851,0.21276,0.11338,1.47549,1.03587,0.98939,0.0007822,0.0007822,0.0007822
13,1087.98,1.47152,0.98142,0.98124,0.36215,0.11079,0.23503,0.14972,1.46764,1.02646,0.97714,0.0007624,0.0007624,0.0007624
14,1175.84,1.47319,0.96881,0.97571,0.50108,0.08599,0.29529,0.1697,1.44321,0.96724,0.97705,0.0007426,0.0007426,0.0007426
15,1265.28,1.46278,0.95428,0.97267,0.32173,0.0984,0.20768,0.12595,1.48058,0.99257,0.97384,0.0007228,0.0007228,0.0007228
16,1351.6,1.44997,0.94685,0.97228,0.52952,0.09264,0.31449,0.17732,1.44517,0.96016,0.98219,0.000703,0.000703,0.000703
17,1432.32,1.44133,0.9386,0.97123,0.38792,0.11001,0.24966,0.14172,1.45878,0.97127,0.9719,0.0006832,0.0006832,0.0006832
18,1524.64,1.4258,0.92357,0.96577,0.48706,0.12108,0.30485,0.15781,1.42466,0.93421,0.96804,0.0006634,0.0006634,0.0006634
19,1608.04,1.43143,0.923,0.96519,0.46532,0.13166,0.29882,0.17873,1.43371,0.95259,0.96675,0.0006436,0.0006436,0.0006436
20,1696.96,1.41752,0.91296,0.96409,0.44948,0.12485,0.28977,0.16584,1.42239,0.92928,0.9657,0.0006238,0.0006238,0.0006238
21,1776.06,1.40803,0.89788,0.95964,0.50014,0.11223,0.31172,0.18514,1.3964,0.92693,0.96118,0.000604,0.000604,0.000604
22,1867.75,1.41055,0.89371,0.95831,0.49166,0.12304,0.31104,0.17923,1.41257,0.91096,0.95991,0.0005842,0.0005842,0.0005842
23,1959.9,1.40089,0.88476,0.95682,0.44013,0.12724,0.28757,0.17571,1.39921,0.90334,0.96595,0.0005644,0.0005644,0.0005644
24,2056.38,1.3949,0.88308,0.95277,0.46336,0.12829,0.29592,0.1773,1.40599,0.91477,0.9619,0.0005446,0.0005446,0.0005446
25,2153.41,1.38341,0.88084,0.95487,0.40426,0.13914,0.28061,0.16158,1.39277,0.94381,0.96407,0.0005248,0.0005248,0.0005248
26,2242.7,1.38604,0.87904,0.95183,0.38541,0.13247,0.2613,0.14973,1.39593,0.906,0.96206,0.000505,0.000505,0.000505
27,2331.74,1.3789,0.8698,0.95651,0.43984,0.13273,0.28751,0.16755,1.38947,0.88634,0.96166,0.0004852,0.0004852,0.0004852
28,2425.42,1.37035,0.85996,0.94698,0.41265,0.13498,0.27737,0.1585,1.40494,0.89071,0.95735,0.0004654,0.0004654,0.0004654
29,2509.65,1.37155,0.85967,0.9483,0.4587,0.13683,0.30528,0.18225,1.39641,0.87893,0.96378,0.0004456,0.0004456,0.0004456
30,2604.33,1.35803,0.84702,0.94332,0.42438,0.13748,0.28367,0.15709,1.38615,0.90306,0.95566,0.0004258,0.0004258,0.0004258
31,2699.84,1.35316,0.84094,0.93952,0.44917,0.13941,0.29875,0.1753,1.35176,0.86673,0.95216,0.000406,0.000406,0.000406
32,2790.34,1.34681,0.83434,0.94322,0.43957,0.15153,0.3004,0.17248,1.35237,0.86668,0.95153,0.0003862,0.0003862,0.0003862
33,2882.6,1.34153,0.82561,0.94006,0.46012,0.14081,0.30585,0.17363,1.35948,0.86309,0.95098,0.0003664,0.0003664,0.0003664
34,2970.94,1.34501,0.82905,0.93765,0.47704,0.14715,0.31649,0.18418,1.35123,0.86451,0.94988,0.0003466,0.0003466,0.0003466
35,3058.48,1.33601,0.82073,0.9384,0.43274,0.15266,0.29751,0.16815,1.35518,0.86148,0.9503,0.0003268,0.0003268,0.0003268
36,3143.82,1.33068,0.81228,0.93582,0.43788,0.14598,0.29284,0.17021,1.339,0.86048,0.94825,0.000307,0.000307,0.000307
37,3232.21,1.32294,0.80492,0.93493,0.46715,0.15351,0.31295,0.17513,1.35066,0.86453,0.94661,0.0002872,0.0002872,0.0002872
38,3318.78,1.32245,0.80547,0.93452,0.44609,0.16806,0.31387,0.17718,1.33481,0.84594,0.94074,0.0002674,0.0002674,0.0002674
39,3407.3,1.30637,0.79433,0.92926,0.52738,0.1505,0.34121,0.21076,1.33516,0.85249,0.94457,0.0002476,0.0002476,0.0002476
40,3490.8,1.31322,0.79416,0.93125,0.53268,0.15015,0.3438,0.20014,1.32484,0.83592,0.94247,0.0002278,0.0002278,0.0002278
41,3569.84,1.29544,0.78042,0.92662,0.50001,0.15277,0.32874,0.18178,1.33751,0.83748,0.94194,0.000208,0.000208,0.000208
42,3656.58,1.29031,0.77346,0.9274,0.52648,0.16385,0.34841,0.19274,1.32224,0.83195,0.94024,0.0001882,0.0001882,0.0001882
43,3746.49,1.30069,0.7765,0.9272,0.49181,0.1436,0.32302,0.18891,1.32551,0.83065,0.93947,0.0001684,0.0001684,0.0001684
44,3824.86,1.28274,0.76968,0.92057,0.55516,0.14981,0.35577,0.20596,1.32003,0.82954,0.93904,0.0001486,0.0001486,0.0001486
45,3911.54,1.28204,0.76492,0.92378,0.49495,0.15319,0.33011,0.19188,1.31833,0.82596,0.93746,0.0001288,0.0001288,0.0001288
46,3993.62,1.27394,0.76268,0.92287,0.48489,0.15569,0.3248,0.18501,1.31754,0.8261,0.93933,0.000109,0.000109,0.000109
47,4065.42,1.26741,0.75206,0.91662,0.46611,0.16564,0.31982,0.18565,1.31641,0.83107,0.93975,8.92e-05,8.92e-05,8.92e-05
